  Depth   SampleID      Ti        Ta        P1       P1sigma      P2       P2sigma      DA       DAsigma  
    4.130     9       -16.4     -16.2       1.7482     0.0008     1.7160     0.0020    0.03220    0.00128 
    4.135     9       -16.3     -16.0       1.7348     0.0015     1.7067     0.0026    0.02810    0.00122 
    4.140     9       -16.3     -15.9       1.7166     0.0024     1.6898     0.0032    0.02677    0.00083 
    4.145     9       -16.3     -15.8       1.7017     0.0023     1.6748     0.0028    0.02697    0.00078 
    4.150     9       -16.3     -15.8       1.6940     0.0018     1.6690     0.0039    0.02493    0.00249 
    4.155     9       -16.1     -15.6       1.6950     0.0018     1.6512     0.0315    0.02560    0.00141 
    4.160     9       -16.0     -15.4       1.7000     0.0044     1.6733     0.0031    0.02667    0.00145 
    4.165     9       -16.2     -15.6       1.7165     0.0019     1.6877     0.0026    0.02880    0.00072 
    4.170     9       -16.2     -15.5       1.7224     0.0034     1.6903     0.0079    0.03203    0.00480 
    4.175     9       -16.2     -15.5       1.7195     0.0022     1.6917     0.0047    0.02783    0.00263 
    4.180     9       -16.2     -15.5       1.7169     0.0004     1.6869     0.0033    0.03000    0.00290 
    4.185     9       -16.1     -15.4       1.7190     0.0011     1.6916     0.0012    0.02743    0.00035 
    4.190     9       -16.2     -16.0       1.7181     0.0017     1.6878     0.0010    0.03027    0.00242 
    4.195     9       -16.1     -16.3       1.7153     0.0024     1.6840     0.0003    0.03127    0.00263 
    4.200     9       -16.2     -16.6       1.7150     0.0013     1.6819     0.0014    0.03317    0.00220 
    4.205     9       -16.2     -16.7       1.7280     0.0004     1.6876     0.0115    0.03375    0.00262 
    4.210     9       -16.1     -16.8       1.7363     0.0026     1.7002     0.0004    0.03617    0.00285 
    4.215     9       -16.1     -16.9       1.7273     0.0015     1.6914     0.0013    0.03597    0.00224 
    4.220     9       -16.3     -17.1       1.7093     0.0021     1.7169     0.0705    0.03305    0.00276 
    4.255     9       -16.3     -16.4       1.7721     0.0007     1.7320     0.0010    0.03985    0.00205 
    4.260     9       -16.2     -16.2       1.7765     0.0009     1.7363     0.0019    0.04023    0.00225 
    4.265     9       -16.2     -16.1       1.7789     0.0007     1.7394     0.0014    0.03950    0.00173 
    4.270     9       -16.1     -16.0       1.7710     0.0007     1.7089     0.0403    0.03875    0.00120 
    4.275     9       -16.2     -16.0       1.7582     0.0015     1.7073     0.0278    0.03485    0.00134 
    4.280     9       -16.2     -15.9       1.7463     0.0016     1.7138     0.0015    0.03253    0.00021 
    4.285     9       -16.2     -15.8       1.7390     0.0019     1.7090     0.0020    0.03000    0.00010 
    4.290     9       -16.1     -15.7       1.7377     0.0023     1.7059     0.0026    0.03180    0.00035 
    4.295     9       -16.2     -15.7       1.7405     0.0037     1.7048     0.0034    0.03567    0.00042 
    4.300     9       -16.2     -15.7       1.7476     0.0047     1.7098     0.0043    0.03783    0.00179 
    4.305     9       -16.4     -15.9       1.7554     0.0005     1.7160     0.0009    0.03937    0.00042 
    4.360     10      -16.2     -16.1       1.6601     0.0009     1.6179     0.0226    0.02920    0.00325 
    4.365     10      -16.3     -16.1       1.6738     0.0023     1.5916     0.0963    0.02655    0.00035 
    4.370     10      -16.1     -15.8       1.6822     0.0015     1.6306     0.0378    0.02970    0.00339 
    4.385     10      -16.0     -15.5       1.7249     0.0009     1.6278     0.1199    0.02780    0.00127 
    4.390     10      -15.9     -15.4       1.7374     0.0037     1.6697     0.0671    0.02895    0.00078 
    4.395     10      -16.0     -15.5       1.7411     0.0007     1.6810     0.0408    0.03660    0.00014 
    4.400     10      -16.1     -15.6       1.7161     0.0007     1.6809     0.0013    0.03523    0.00068 
    4.405     10      -16.1     -15.5       1.7155     0.0008     1.6855     0.0021    0.03000    0.00131 
    4.410     10      -16.0     -15.4       1.7292     0.0018     1.6978     0.0018    0.03137    0.00006 
    4.415     10      -16.0     -15.4       1.7440     0.0022     1.7104     0.0014    0.03360    0.00082 
    4.420     10      -16.0     -15.4       1.7541     0.0024     1.7184     0.0017    0.03573    0.00067 
    4.425     10      -16.0     -16.2       1.7598     0.0026     1.7229     0.0017    0.03687    0.00093 
    4.430     10      -15.9     -16.3       1.7658     0.0024     1.7278     0.0013    0.03800    0.00115 
    4.435     10      -15.9     -16.7       1.7716     0.0020     1.7316     0.0014    0.04000    0.00066 
    4.440     10      -15.9     -16.8       1.7750     0.0020     1.7343     0.0014    0.04073    0.00070 
    4.445     10      -16.1     -16.9       1.7739     0.0023     1.7359     0.0015    0.03807    0.00080 
    4.450     10      -16.2     -17.1       1.7669     0.0023     1.7310     0.0016    0.03590    0.00080 
    4.455     10      -16.2     -16.9       1.7545     0.0024     1.7193     0.0019    0.03517    0.00049 
    4.460     10      -16.2     -16.8       1.7423     0.0022     1.7064     0.0027    0.03587    0.00051 
    4.465     10      -16.1     -16.6       1.7347     0.0024     1.6986     0.0021    0.03607    0.00050 
